longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,county
-118.33,34.27,29.0,3034.0,732.0,1776.0,702.0,3.1349,230200.0,<1H OCEAN,Los Angeles
-118.35,34.27,32.0,604.0,108.0,314.0,113.0,6.2037,205400.0,<1H OCEAN,Los Angeles
-118.34,34.26,37.0,1776.0,301.0,702.0,265.0,5.2661,314900.0,<1H OCEAN,Los Angeles
-118.35,34.25,34.0,2795.0,460.0,1267.0,443.0,6.1464,354400.0,<1H OCEAN,Los Angeles
-118.36,34.26,34.0,3677.0,573.0,1598.0,568.0,6.838,378000.0,<1H OCEAN,Los Angeles
-118.39,34.28,24.0,4694.0,820.0,3566.0,777.0,4.4818,166200.0,<1H OCEAN,Los Angeles
-118.38,34.28,22.0,4428.0,825.0,3152.0,836.0,4.7932,166300.0,<1H OCEAN,Los Angeles
-118.4,34.28,19.0,5045.0,1145.0,4647.5,1160.0,2.9978,159850.0,<1H OCEAN,Los Angeles
-118.38,34.27,8.0,3248.0,847.0,2608.0,731.0,2.8214,158300.0,<1H OCEAN,Los Angeles
-118.41,34.29,33.5,1299.5,262.0,1490.0,260.5,3.8234500000000002,146700.0,<1H OCEAN,Los Angeles
-118.42,34.28,32.666666666666664,1364.0,299.6666666666667,1642.0,302.6666666666667,3.4038333333333335,142533.33333333334,<1H OCEAN,Los Angeles
-118.41,34.28,32.0,2574.0,531.0,2609.0,472.0,3.7566,146700.0,<1H OCEAN,Los Angeles
-118.42,34.27,34.6,1308.8,331.6,1587.2,317.2,2.46586,136980.0,<1H OCEAN,Los Angeles
-118.43,34.28,28.5,1123.0,294.0,1648.5,284.0,2.6928,148400.0,<1H OCEAN,Los Angeles
-118.43,34.27,33.5,1066.0,263.0,1422.5,259.0,3.62965,152400.0,<1H OCEAN,Los Angeles
-118.43,34.26,36.666666666666664,1081.3333333333333,297.6666666666667,1586.6666666666667,292.6666666666667,3.2402,143000.0,<1H OCEAN,Los Angeles
-118.44,34.27,33.333333333333336,1196.3333333333333,293.6666666666667,1323.6666666666667,274.3333333333333,3.4316666666666666,146700.0,<1H OCEAN,Los Angeles
-118.42,34.25,36.5,1487.5,336.0,1705.5,332.0,3.65415,146650.0,<1H OCEAN,Los Angeles
-118.43,34.25,35.0,1600.3333333333333,375.6666666666667,1657.0,359.6666666666667,3.336766666666667,151433.33333333334,<1H OCEAN,Los Angeles
-118.42,34.26,33.0,1516.6666666666667,388.6666666666667,1982.3333333333333,371.0,3.1527,139433.33333333334,<1H OCEAN,Los Angeles
-118.41,34.26,38.0,870.0,205.0,1065.0,222.0,2.5313,136100.0,<1H OCEAN,Los Angeles
-118.41,34.27,38.0,858.0,203.0,1250.0,204.0,2.9219,137900.0,<1H OCEAN,Los Angeles
-118.4,34.26,13.0,4379.0,872.0,2560.0,853.0,4.2538,154300.0,<1H OCEAN,Los Angeles
-118.4,34.25,13.0,1872.0,497.0,1927.0,432.0,2.2019,134200.0,<1H OCEAN,Los Angeles
-118.41,34.25,26.5,1425.0,348.0,1575.0,340.0,2.855725,147875.0,<1H OCEAN,Los Angeles
-118.42,34.24,29.333333333333332,1579.0,349.6666666666667,1347.6666666666667,348.3333333333333,3.9436999999999998,174900.0,<1H OCEAN,Los Angeles
-118.43,34.32,34.0,2657.0,515.0,1948.0,532.0,4.233,157400.0,<1H OCEAN,Los Angeles
-118.43,34.33,18.0,5891.0,920.0,2882.0,911.0,5.901,235600.0,<1H OCEAN,Los Angeles
-118.44,34.32,14.0,6235.0,1286.0,3568.0,1190.0,4.1724,211600.0,<1H OCEAN,Los Angeles
-118.42,34.31,19.0,6755.0,1443.0,4205.0,1395.0,3.9583,163200.0,<1H OCEAN,Los Angeles
-118.42,34.3,29.0,3334.0,712.0,2919.0,718.0,3.6548,180300.0,<1H OCEAN,Los Angeles
-118.41,34.32,18.0,6572.0,1105.0,3473.0,1067.0,5.2987,203400.0,<1H OCEAN,Los Angeles
-118.41,34.3,28.0,3187.0,569.0,2205.0,559.0,5.1668,187400.0,<1H OCEAN,Los Angeles
-118.42,34.32,30.0,3027.0,604.0,1970.0,590.0,4.3409,156000.0,<1H OCEAN,Los Angeles
-118.44,34.31,18.0,3666.5,881.5,2912.0,830.5,3.38865,157200.0,<1H OCEAN,Los Angeles
-118.44,34.3,38.0,1595.0,314.0,1181.0,327.0,3.4,155500.0,<1H OCEAN,Los Angeles
-118.45,34.31,18.5,1635.5,322.5,898.5,299.0,4.26645,177800.0,<1H OCEAN,Los Angeles
-118.45,34.32,23.0,3481.0,641.0,1952.0,682.0,4.26,189400.0,<1H OCEAN,Los Angeles
-118.46,34.32,10.0,5777.0,1112.0,2917.0,1056.0,4.1514,194100.0,<1H OCEAN,Los Angeles
-118.46,34.3,32.0,2424.0,476.0,2291.0,419.0,4.0337,158500.0,<1H OCEAN,Los Angeles
-118.46,34.31,24.0,2920.0,601.0,1460.0,598.0,4.2708,218200.0,<1H OCEAN,Los Angeles
-118.47,34.32,13.0,2664.0,518.0,1468.0,521.0,4.8988,325200.0,<1H OCEAN,Los Angeles
-118.48,34.33,9.0,2384.0,395.0,1697.0,402.0,6.0891,270100.0,<1H OCEAN,Los Angeles
-118.48,34.31,31.0,1091.0,256.0,892.0,238.0,3.0,172400.0,<1H OCEAN,Los Angeles
-118.47,34.3,16.0,2495.0,551.0,2314.0,567.0,3.6736,192200.0,<1H OCEAN,Los Angeles
-118.46,34.29,24.0,3668.0,890.0,3151.0,810.0,3.0526,183300.0,<1H OCEAN,Los Angeles
-118.47,34.29,18.0,4256.0,987.0,3401.0,955.0,4.2935,190000.0,<1H OCEAN,Los Angeles
-118.49,34.29,26.0,4516.0,611.0,1714.0,581.0,9.2873,431800.0,<1H OCEAN,Los Angeles
-118.49,34.28,29.0,3021.5,487.0,1514.0,487.0,6.75765,302450.0,<1H OCEAN,Los Angeles
-118.49,34.31,25.0,1024.0,145.0,357.0,147.0,7.0598,356300.0,<1H OCEAN,Los Angeles
-118.52,34.32,18.0,7498.0,976.0,3189.0,955.0,8.1248,374000.0,<1H OCEAN,Los Angeles
-118.51,34.3,24.0,6145.0,868.0,2710.0,875.0,7.5078,344000.0,<1H OCEAN,Los Angeles
-118.51,34.28,31.5,3909.5,609.0,1792.0,577.5,5.8988,272750.0,<1H OCEAN,Los Angeles
-118.51,34.29,29.0,1287.0,194.0,525.0,187.0,6.4171,319300.0,<1H OCEAN,Los Angeles
-118.52,34.29,28.0,2272.0,320.0,868.0,312.0,7.7464,474600.0,<1H OCEAN,Los Angeles
-118.52,34.3,17.0,4542.0,621.0,2144.0,597.0,8.8467,450700.0,<1H OCEAN,Los Angeles
-118.45,34.3,31.0,3380.5,919.0,3324.5,764.5,3.89295,156150.0,<1H OCEAN,Los Angeles
-118.54,34.28,14.0,6573.0,889.5,2997.0,881.0,8.80265,438600.5,<1H OCEAN,Los Angeles
-118.55,34.28,16.0,8879.0,,3468.0,1200.0,8.1125,428600.0,<1H OCEAN,Los Angeles
-118.54,34.3,22.0,4423.0,622.0,1995.0,582.0,8.2159,376200.0,<1H OCEAN,Los Angeles
-118.57,34.29,4.0,6995.0,1151.0,2907.0,1089.0,7.0808,341200.0,<1H OCEAN,Los Angeles
-118.45,34.28,37.0,2064.5,485.0,2041.5,480.0,3.14345,150900.0,<1H OCEAN,Los Angeles
-118.46,34.28,23.0,1663.0,302.0,1242.0,283.0,5.5931,217600.0,<1H OCEAN,Los Angeles
-118.46999999999998,34.27,33.0,1549.0,264.0,881.0,289.0,5.1408,222900.0,<1H OCEAN,Los Angeles
-118.48,34.28,35.0,1821.5,321.0,1000.5,297.5,5.4357500000000005,226900.0,<1H OCEAN,Los Angeles
-118.48,34.27,33.5,1940.0,335.5,1002.5,329.5,4.9639,220250.0,<1H OCEAN,Los Angeles
-118.45,34.27,34.0,1386.5,264.5,925.5,247.5,4.4173,190850.0,<1H OCEAN,Los Angeles
-118.46,34.27,29.0,1720.5,372.5,1093.0,362.0,3.7104,176000.0,<1H OCEAN,Los Angeles
-118.45,34.26,35.0,1680.5,305.5,943.0,308.5,4.50545,202600.0,<1H OCEAN,Los Angeles
-118.45,34.25,30.333333333333332,1896.6666666666667,405.0,1272.6666666666667,384.0,4.5491,193133.33333333334,<1H OCEAN,Los Angeles
-118.46,34.26,34.5,1376.0,250.5,749.5,248.5,5.021599999999999,213700.0,<1H OCEAN,Los Angeles
-118.46,34.25,32.5,2209.5,427.5,1099.5,417.0,3.9566,216400.0,<1H OCEAN,Los Angeles
-118.47,34.26,34.5,1599.0,316.5,886.5,319.0,4.73335,208800.0,<1H OCEAN,Los Angeles
-118.48,34.26,36.0,1770.0,296.0,938.0,304.0,5.749,238000.0,<1H OCEAN,Los Angeles
-118.49,34.26,26.0,5555.5,1170.0,2823.5,1083.0,4.1044,250600.0,<1H OCEAN,Los Angeles
-118.47,34.25,27.5,2212.0,438.0,1225.0,428.5,4.34545,217300.0,<1H OCEAN,Los Angeles
-118.48,34.25,35.333333333333336,1752.6666666666667,335.3333333333333,969.6666666666666,326.6666666666667,5.079166666666667,211833.33333333334,<1H OCEAN,Los Angeles
-118.49,34.25,30.333333333333332,3004.3333333333335,521.6666666666666,1486.3333333333333,522.0,4.7855,248266.66666666666,<1H OCEAN,Los Angeles
-118.49,34.27,33.5,3962.0,671.0,2049.5,644.0,5.075699999999999,231050.0,<1H OCEAN,Los Angeles
-118.5,34.27,35.0,2235.0,390.0,1148.0,416.0,4.869,221600.0,<1H OCEAN,Los Angeles
-118.52,34.28,33.0,1975.0,271.0,801.0,287.0,7.8193,379600.0,<1H OCEAN,Los Angeles
-118.51,34.27,35.0,3031.5,600.0,1483.5,578.5,4.079599999999999,237300.0,<1H OCEAN,Los Angeles
-118.52,34.27,36.0,3204.0,538.0,1499.0,499.0,5.5649,271200.0,<1H OCEAN,Los Angeles
-118.53,34.27,32.5,1929.0,301.5,922.0,303.5,5.5093499999999995,324850.0,<1H OCEAN,Los Angeles
-118.53,34.26,18.0,3674.0,,1590.0,550.0,8.176,308400.0,<1H OCEAN,Los Angeles
-118.54,34.26,22.5,5131.5,715.0,2150.5,696.5,8.298200000000001,405900.5,<1H OCEAN,Los Angeles
-118.54,34.27,28.0,2309.0,300.0,931.0,302.0,6.7415,348200.0,<1H OCEAN,Los Angeles
-118.55,34.26,21.0,4018.0,536.0,1508.0,529.0,8.203,445400.0,<1H OCEAN,Los Angeles
-118.55,34.27,25.0,4919.0,661.0,2183.0,625.0,8.1356,352800.0,<1H OCEAN,Los Angeles
-118.5,34.26,33.0,2831.0,510.0,1340.0,504.0,4.8316,237300.0,<1H OCEAN,Los Angeles
-118.52,34.26,21.0,8850.0,2139.0,4717.0,1979.0,3.7816,254200.0,<1H OCEAN,Los Angeles
-118.51,34.26,29.0,2472.0,354.0,1109.0,397.0,5.5433,332500.0,<1H OCEAN,Los Angeles
-118.52,34.25,11.0,7849.0,1664.0,3561.0,1500.0,4.6625,290900.0,<1H OCEAN,Los Angeles
-118.57,34.27,20.0,7384.0,845.0,2795.0,872.0,9.6047,500001.0,<1H OCEAN,Los Angeles
-118.59,34.26,20.0,8146.0,1131.0,3562.0,1054.0,7.167,357100.0,<1H OCEAN,Los Angeles
-118.61,34.24,17.0,5406.0,895.0,2337.0,882.0,6.0137,375900.0,<1H OCEAN,Los Angeles
-118.63,34.24,9.0,4759.0,924.0,1884.0,915.0,4.8333,277200.0,<1H OCEAN,Los Angeles
-118.62,34.26,15.0,10860.0,1653.0,4178.0,1581.0,6.3249,262100.0,<1H OCEAN,Los Angeles
-118.6,34.26,18.0,6154.0,1070.0,3010.0,1034.0,5.6392,271500.0,<1H OCEAN,Los Angeles
-118.61,34.25,16.0,8295.0,1506.0,3903.0,1451.0,5.5111,276600.0,<1H OCEAN,Los Angeles
-118.63,34.22,18.0,1376.0,225.0,670.0,205.0,6.5146,277600.0,<1H OCEAN,Los Angeles
-118.64,34.22,20.5,3537.0,492.0,1534.0,506.5,7.65405,361850.0,<1H OCEAN,Los Angeles
-118.66,34.23,18.0,897.0,142.0,263.0,110.0,6.1288,350000.0,<1H OCEAN,Los Angeles
-118.61,34.23,26.0,3727.0,572.0,1724.0,530.0,6.1419,327300.0,<1H OCEAN,Los Angeles
-118.61,34.22,24.0,5256.0,758.0,2474.0,780.0,7.3252,333700.0,<1H OCEAN,Los Angeles
-118.6,34.23,19.0,8866.0,2355.0,5005.0,2194.0,3.2564,230300.0,<1H OCEAN,Los Angeles
-118.59,34.23,15.5,5499.5,1367.0,3567.5,1295.5,3.2218999999999998,211650.0,<1H OCEAN,Los Angeles
-118.56,34.25,31.0,1962.0,243.0,697.0,242.0,8.565,500001.0,<1H OCEAN,Los Angeles
-118.56,34.24,23.0,2980.0,362.0,1208.0,378.0,8.1714,500001.0,<1H OCEAN,Los Angeles
-118.57,34.25,27.0,4888.5,693.5,2092.0,693.5,7.180999999999999,346500.0,<1H OCEAN,Los Angeles
-118.58,34.24,26.0,3239.0,647.0,1529.0,590.0,3.2426,236900.0,<1H OCEAN,Los Angeles
-118.59,34.25,15.0,9716.0,2387.0,4992.0,2225.0,3.6231,193300.0,<1H OCEAN,Los Angeles
-118.58,34.25,23.0,4883.0,769.0,2119.0,725.0,5.521,280800.0,<1H OCEAN,Los Angeles
-118.56,34.23,36.0,2810.5,480.5,1476.0,496.5,5.1035,235100.0,<1H OCEAN,Los Angeles
-118.57,34.23,22.0,3275.0,648.0,1746.0,585.0,4.9676,221900.0,<1H OCEAN,Los Angeles
-118.58,34.23,32.0,2912.0,543.5,1528.0,533.5,4.4976,232550.0,<1H OCEAN,Los Angeles
-118.58,34.22,35.0,2264.5,390.0,1189.0,404.0,5.25475,229300.0,<1H OCEAN,Los Angeles
-118.59,34.22,17.0,6015.0,1464.0,3056.0,1347.0,4.0077,229000.0,<1H OCEAN,Los Angeles
-118.51,34.25,24.0,4338.0,558.0,1514.0,549.0,8.8612,500001.0,<1H OCEAN,Los Angeles
-118.51,34.24,31.0,5297.0,664.0,1986.0,657.0,8.6454,483500.0,<1H OCEAN,Los Angeles
-118.51,34.23,31.5,3952.0,683.0,1721.0,636.5,6.0349,465800.0,<1H OCEAN,Los Angeles
-118.52,34.24,6.0,3218.0,949.0,2295.0,876.0,3.0926,418500.0,<1H OCEAN,Los Angeles
-118.52,34.23,35.0,1471.0,210.0,735.0,219.0,8.3841,472200.0,<1H OCEAN,Los Angeles
-118.53,34.25,20.0,6331.0,1537.0,2957.0,1509.0,3.3892,323100.0,<1H OCEAN,Los Angeles
-118.54,34.24,24.0,4631.0,1164.0,2360.0,1083.0,3.0977,264000.0,<1H OCEAN,Los Angeles
-118.53,34.24,24.0,2718.0,719.0,3018.0,644.0,2.9076,275300.0,<1H OCEAN,Los Angeles
-118.54,34.23,32.0,2587.5,471.5,1504.0,453.5,4.25,237150.0,<1H OCEAN,Los Angeles
-118.53,34.23,29.5,3085.0,763.5,1870.0,734.5,3.13625,235200.0,<1H OCEAN,Los Angeles
-118.54,34.25,26.0,2639.0,378.0,1191.0,401.0,6.2788,322200.0,<1H OCEAN,Los Angeles
-118.55,34.24,21.0,5751.0,1082.0,2230.0,1016.0,4.3458,407500.0,<1H OCEAN,Los Angeles
-118.55,34.23,25.0,4409.0,1018.0,4579.0,1010.0,2.8727,245100.0,<1H OCEAN,Los Angeles
-118.52,34.22,30.333333333333332,2504.0,531.6666666666666,1634.0,501.6666666666667,4.592666666666666,238933.33333333334,<1H OCEAN,Los Angeles
-118.54,34.22,34.5,1928.5,406.5,1149.5,403.0,4.1459,217850.0,<1H OCEAN,Los Angeles
-118.46,34.24,11.0,5363.0,1160.0,2783.0,1034.0,3.8583,170700.0,<1H OCEAN,Los Angeles
-118.47,34.24,19.0,2405.0,661.0,1855.0,621.0,2.3111,255400.0,<1H OCEAN,Los Angeles
-118.48,34.24,32.0,2621.0,412.0,1285.0,414.0,6.6537,267600.0,<1H OCEAN,Los Angeles
-118.49,34.24,34.5,2339.0,381.0,1070.5,376.0,5.6952,253250.0,<1H OCEAN,Los Angeles
-118.5,34.25,32.0,2372.0,384.5,1004.5,337.5,5.4857,249200.0,<1H OCEAN,Los Angeles
-118.5,34.24,34.0,2634.0,412.0,1114.0,423.0,5.9401,315300.0,<1H OCEAN,Los Angeles
-118.5,34.23,26.0,3082.0,573.0,1590.0,586.0,4.5167,319000.0,<1H OCEAN,Los Angeles
-118.49,34.23,32.0,4373.0,683.0,2040.0,693.0,5.2668,242300.0,<1H OCEAN,Los Angeles
-118.49,34.22,30.0,1756.0,314.0,899.0,288.0,5.0325,238200.0,<1H OCEAN,Los Angeles
-118.47,34.23,22.0,8350.0,2717.0,9135.0,2452.0,2.5008,160000.0,<1H OCEAN,Los Angeles
-118.48,34.23,31.333333333333332,2359.6666666666665,426.6666666666667,1144.0,413.0,5.277833333333334,257200.0,<1H OCEAN,Los Angeles
-118.46,34.23,18.333333333333332,6949.666666666667,2027.0,5791.333333333333,1889.6666666666667,2.771933333333333,156466.66666666666,<1H OCEAN,Los Angeles
-118.43000000000002,34.24,36.0,1488.0,313.0,1221.0,296.0,4.0208,171400.0,<1H OCEAN,Los Angeles
-118.41,34.23,35.0,1026.0,195.0,753.0,185.0,4.5909,179200.0,<1H OCEAN,Los Angeles
-118.41,34.24,38.0,490.0,101.0,402.0,100.0,3.125,175900.0,<1H OCEAN,Los Angeles
-118.44,34.26,32.0,834.6666666666666,186.66666666666666,919.6666666666666,196.0,4.502766666666667,164433.33333333334,<1H OCEAN,Los Angeles
-118.44,34.25,34.0,1352.0,277.5,1259.5,293.5,4.2979,174850.0,<1H OCEAN,Los Angeles
-118.45,34.24,9.0,6176.0,1493.5,4719.5,1342.5,3.29735,171200.0,<1H OCEAN,Los Angeles
-118.45,34.23,20.0,5065.5,1568.0,4200.5,1424.0,2.47085,170650.0,<1H OCEAN,Los Angeles
-118.44,34.24,35.5,2002.0,368.0,1378.0,353.0,3.91,181100.0,<1H OCEAN,Los Angeles
-118.42,34.23,33.666666666666664,1853.0,338.0,1214.0,336.0,5.2897,194333.33333333334,<1H OCEAN,Los Angeles
-118.42,34.22,31.5,2405.5,456.0,1586.0,439.0,4.7812,215800.0,<1H OCEAN,Los Angeles
-118.43,34.23,35.666666666666664,1670.3333333333333,329.0,1022.3333333333334,324.0,3.935333333333334,177233.33333333334,<1H OCEAN,Los Angeles
-118.44,34.23,39.5,1993.5,408.0,1258.5,397.5,4.2823,182450.0,<1H OCEAN,Los Angeles
-118.43,34.22,34.666666666666664,1753.3333333333333,361.3333333333333,1100.3333333333333,367.0,3.8624666666666667,201866.66666666666,<1H OCEAN,Los Angeles
-118.44,34.22,39.25,1333.0,305.75,863.5,290.75,3.354875,177350.0,<1H OCEAN,Los Angeles
-118.46,34.22,35.0,1948.3333333333333,517.0,1872.3333333333333,484.6666666666667,3.1544666666666665,174433.33333333334,<1H OCEAN,Los Angeles
-118.45,34.22,16.0,3025.5,977.0,3214.0,896.0,2.42065,184350.0,<1H OCEAN,Los Angeles
-118.44,34.21,32.666666666666664,2953.6666666666665,712.3333333333334,2018.6666666666667,678.0,3.6633666666666667,191633.33333333334,<1H OCEAN,Los Angeles
-118.43,34.21,21.5,3267.0,940.0,2295.5,847.0,3.275,201000.0,<1H OCEAN,Los Angeles
-118.4,34.22,39.5,1888.5,381.0,1142.5,360.5,3.65165,185050.0,<1H OCEAN,Los Angeles
-118.4,34.21,37.5,1712.5,362.5,1153.5,346.5,3.89985,186400.0,<1H OCEAN,Los Angeles
-118.41000000000001,34.21,35.0,2215.0,459.0,1594.0,446.0,4.0167,193200.0,<1H OCEAN,Los Angeles
-118.4,34.23,36.5,1523.5,307.5,1151.5,305.5,4.0615000000000006,181350.0,<1H OCEAN,Los Angeles
-118.38,34.25,38.0,983.0,185.0,513.0,170.0,4.8816,231500.0,<1H OCEAN,Los Angeles
-118.37,34.24,40.0,1283.0,246.0,594.0,236.0,4.1121,229200.0,<1H OCEAN,Los Angeles
-118.37,34.23,32.0,1444.0,317.0,1177.0,311.0,3.6,164600.0,<1H OCEAN,Los Angeles
-118.37,34.22,14.0,1957.0,522.0,1830.0,489.0,3.22745,162800.0,<1H OCEAN,Los Angeles
-118.38,34.24,38.0,125.0,42.0,63.0,29.0,1.3594,158300.0,<1H OCEAN,Los Angeles
-118.4,34.24,35.0,2552.0,545.0,1850.0,503.0,4.775,179500.0,<1H OCEAN,Los Angeles
-118.39,34.23,30.5,2299.0,565.0,2092.5,557.5,2.58005,171750.0,<1H OCEAN,Los Angeles
-118.39,34.22,37.5,1251.0,241.5,905.0,250.0,4.3884,176000.0,<1H OCEAN,Los Angeles
-118.39,34.21,23.0,2338.0,654.5,2122.5,617.5,3.1756,175450.0,<1H OCEAN,Los Angeles
-118.38,34.22,26.0,769.0,222.0,606.0,210.0,2.32145,163850.0,<1H OCEAN,Los Angeles
-118.38,34.21,37.0,1381.75,331.75,1372.0,332.25,3.243075,172600.0,<1H OCEAN,Los Angeles
-118.42,34.21,29.0,2893.0,543.0,1636.0,540.0,5.1586,237400.0,<1H OCEAN,Los Angeles
-118.42,34.2,28.333333333333332,2170.0,642.0,2106.3333333333335,606.6666666666666,1.7308666666666668,213566.66666666666,<1H OCEAN,Los Angeles
-118.37,34.21,34.75,1944.5,452.25,1818.5,423.5,3.7258999999999998,172075.0,<1H OCEAN,Los Angeles
-118.36,34.23,15.0,2485.0,742.0,1994.0,670.0,2.8333,183200.0,<1H OCEAN,Los Angeles
-118.36,34.22,37.0,1512.0,348.0,1545.0,351.0,3.7663,160300.0,<1H OCEAN,Los Angeles
-118.36,34.21,41.0,337.0,65.0,198.0,50.0,1.8929,152900.0,<1H OCEAN,Los Angeles
-118.38,34.2,27.5,2565.5,728.0,2477.5,658.0,2.72155,184600.0,<1H OCEAN,Los Angeles
-118.39,34.2,18.0,2303.0,880.0,3716.5,852.0,2.1291,179250.0,<1H OCEAN,Los Angeles
-118.37,34.2,33.5,1818.5,459.0,1933.0,451.5,2.9389000000000003,171100.0,<1H OCEAN,Los Angeles
-118.36,34.19,28.5,2298.5,503.5,1179.0,479.5,4.66295,192950.0,<1H OCEAN,Los Angeles
-118.36,34.18,33.666666666666664,1604.3333333333333,460.6666666666667,1349.3333333333333,439.6666666666667,2.7141,194533.33333333334,<1H OCEAN,Los Angeles
-118.37,34.18,36.5,1881.5,494.75,1327.75,468.0,3.113575,186200.0,<1H OCEAN,Los Angeles
-118.37,34.19,30.0,2907.0,844.0,2477.0,770.5,2.3848000000000003,178350.0,<1H OCEAN,Los Angeles
-118.39,34.19,31.25,2143.25,593.75,1768.75,546.25,2.6402,187900.0,<1H OCEAN,Los Angeles
-118.38,34.19,36.333333333333336,1239.6666666666667,315.6666666666667,1117.6666666666667,321.3333333333333,2.3873333333333333,178400.0,<1H OCEAN,Los Angeles
-118.4,34.2,21.5,3625.5,974.0,2669.0,904.5,3.26495,219150.0,<1H OCEAN,Los Angeles
-118.4,34.19,34.25,1316.5,328.0,809.5,325.25,3.594425,212775.0,<1H OCEAN,Los Angeles
-118.41,34.19,40.75,1261.75,259.25,649.0,255.75,3.6466749999999997,202275.0,<1H OCEAN,Los Angeles
-118.41,34.2,32.0,2734.0,654.0,2209.0,610.0,3.5164,217200.0,<1H OCEAN,Los Angeles
-118.42,34.19,33.333333333333336,3086.6666666666665,730.6666666666666,2198.6666666666665,711.3333333333334,2.7378,241000.0,<1H OCEAN,Los Angeles
-118.43,34.2,25.666666666666668,3509.0,982.5,2335.3333333333335,823.0,2.9689666666666668,222900.0,<1H OCEAN,Los Angeles
-118.42,34.18,32.0,2245.75,507.25,1238.25,487.0,3.975825,286425.0,<1H OCEAN,Los Angeles
-118.43,34.18,27.75,2754.0,711.25,1557.5,673.25,3.265175,257700.0,<1H OCEAN,Los Angeles
-118.41,34.18,35.75,2152.0,479.0,1132.75,459.75,4.00195,266975.0,<1H OCEAN,Los Angeles
-118.4,34.18,32.0,3724.0,899.0,1912.0,791.0,3.5711,312700.0,<1H OCEAN,Los Angeles
-118.40000000000002,34.17,27.0,3588.0,911.0,1891.0,871.0,3.4013,286000.0,<1H OCEAN,Los Angeles
-118.39,34.18,43.0,1217.0,240.0,602.5,263.0,3.16165,232000.0,<1H OCEAN,Los Angeles
-118.39,34.17,30.0,3565.0,887.25,1647.75,836.5,3.3514999999999997,253175.0,<1H OCEAN,Los Angeles
-118.40000000000002,34.16,45.0,1176.0,250.0,471.0,228.0,2.3333,364700.0,<1H OCEAN,Los Angeles
-118.41,34.16,23.0,1818.5,327.5,765.5,320.0,5.2789,370400.0,<1H OCEAN,Los Angeles
-118.41,34.17,31.0,2652.0,538.0,1130.5,508.5,4.2835,348500.0,<1H OCEAN,Los Angeles
-118.38,34.18,33.4,2670.0,797.0,2219.2,744.2,2.7006,183340.0,<1H OCEAN,Los Angeles
-118.38,34.17,31.5,1802.0,538.0,1049.0,474.5,2.7958,215400.0,<1H OCEAN,Los Angeles
-118.36,34.17,40.333333333333336,1834.0,435.0,1262.6666666666667,411.0,2.9942333333333337,207566.66666666666,<1H OCEAN,Los Angeles
-118.37,34.17,23.0,1585.0,484.2,1277.8,443.0,2.2288200000000002,221600.0,<1H OCEAN,Los Angeles
-118.43000000000002,34.17,32.0,3202.0,696.0,1573.0,621.0,3.4449,292900.0,<1H OCEAN,Los Angeles
-118.43,34.16,37.25,2066.25,404.5,918.5,404.0,4.017975,352650.0,<1H OCEAN,Los Angeles
-118.42,34.15,31.0,1804.0,395.75,689.5,338.5,4.842825,366150.0,<1H OCEAN,Los Angeles
