longitude,latitude,Sold Price,Year built,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Elementary School Distance,Middle School Distance,High School Distance,Last Sold Price
-118.66,34.2,,1983.0,2,3.0,3.0,1332.0,2.7,4.4,4.1,
-118.66,34.21,,1995.0,9,8.0,6.0,3085.0,,,2.6500000000000004,707500.0
-118.66,34.45,,1995.6666666666667,9,9.0,5.0,1535.6666666666667,2.6,1.9666666666666668,6.2,382500.0
-118.65,34.04,,1969.0,3,4.0,4.0,2972.0,2.7,,10.8,
-118.65,34.15,,1987.0,3,3.0,2.0,3416.0,0.6,2.2,1.4,
-118.65,34.17,,1962.6666666666667,12,8.0,5.0,2327.3333333333335,0.7999999999999999,,0.3666666666666667,592500.0
-118.65,34.18,,1960.0,6,5.0,4.0,1720.0,0.2,,1.0,683500.0
-118.65,34.19,,1960.0,7,4.0,2.0,1468.0,,,1.35,
-118.65,34.2,,1967.857142857143,26,19.0,17.0,1881.857142857143,,,1.9142857142857141,661987.5
-118.65,34.21,,1999.0,15,13.0,12.0,3611.0,,,2.3666666666666667,780250.0
-118.65,34.22,,2001.5,7,7.0,2.0,2724.0,0.8,,3.5999999999999996,
-118.65,34.23,,1966.0,5,5.0,2.0,962.5,1.15,,4.45,260000.0
-118.65,34.47,,2000.0,4,3.0,3.0,3152.0,0.9,0.3,5.5,683000.0
-118.64,34.04,,1939.0,3,3.0,0.0,1820.0,3.9,,12.0,1525000.0
-118.64,34.15,,1975.25,16,17.0,16.0,3342.0,0.7999999999999999,1.8333333333333333,1.0333333333333334,1504750.0
-118.64,34.19,,1959.5,8,5.0,3.0,2324.5,0.2,,1.35,
-118.64,34.2,,1964.1666666666667,22,14.0,13.0,2084.5,0.3,,1.866666666666667,578500.0
-118.64,34.21,,1976.75,16,11.0,8.0,2382.75,0.2,1.7,2.5999999999999996,772666.6666666666
-118.64,34.22,,1963.0,4,2.0,2.0,2090.0,0.4,1.7,3.8,
-118.64,34.24,,1945.0,3,2.0,2.0,1400.0,1.5,,3.4,162000.0
-118.64,34.47,,1999.5,9,6.0,6.0,2670.5,0.7,0.25,5.35,428500.0
-118.64,34.48,,1989.0,4,3.0,3.0,2115.0,1.8,,5.3,370000.0
-118.64,34.49,,1988.0,3,2.0,2.0,1439.0,1.6,,5.5,500000.0
-118.64,34.51,,2001.0,9,6.0,5.0,3049.5,0.7,,6.449999999999999,455000.0
-118.63,34.04,,,4,3.0,3.0,3645.0,4.1,,12.1,
-118.63,34.08,,2000.0,4,3.0,3.0,3360.0,1.4,,5.7,
-118.63,34.1,1882000.0,1931.5,6,5.0,4.0,1713.5,1.55,,6.9,1080000.0
-118.63,34.12,,1999.0,4,5.0,3.0,3168.0,2.2,,7.5,
-118.63,34.14,,1989.0,5,4.0,3.0,3258.0,1.2,1.3,0.6,1350000.0
-118.63,34.15,,1977.6666666666667,10,8.0,6.0,2260.3333333333335,1.4,1.2,1.1333333333333333,882000.0
-118.63,34.16,,1961.6666666666667,10,6.0,6.0,1887.3333333333333,,,1.0999999999999999,716750.0
-118.63,34.17,,1954.0,4,3.0,1.0,2803.0,0.7,,0.8,
-118.63,34.18,,1957.6666666666667,10,9.0,8.0,2229.3333333333335,0.3666666666666667,,1.0,812000.0
-118.63,34.19,,1957.0,6,5.0,4.0,1474.5,0.44999999999999996,,1.5,495000.0
-118.63,34.2,,1969.5,8,5.0,5.0,2012.5,,1.2000000000000002,1.45,476500.0
-118.63,34.21,,1958.0,7,5.0,5.0,1388.5,0.6,2.25,1.6,576000.0
-118.63,34.45,,2003.0,3,2.0,2.0,1809.0,0.7,1.2,4.3,543000.0
-118.63,34.46,,2002.0,5,3.0,2.0,2247.0,0.7,1.1,4.2,600000.0
-118.63,34.47,,1997.3333333333333,13,9.0,9.0,2783.6666666666665,0.26666666666666666,0.6333333333333333,4.6000000000000005,287250.0
-118.63,34.48,,2002.5,7,6.0,5.0,2956.0,1.6,,4.9,716000.0
-118.63,34.49,,1982.0,6,4.0,4.0,1289.5,1.25,,5.15,309250.0
-118.63,34.5,,1987.0,5,3.0,3.0,1969.0,0.8,,5.6,290000.0
-118.62,34.04,,1963.0,2,3.0,2.0,1490.0,4.9,,13.0,750000.0
-118.62,34.13,,1990.0,3,3.0,3.0,2499.0,0.7,0.7,0.8,
-118.62,34.14,,1985.5,10,8.0,7.0,3245.5,0.1,0.45,0.55,970000.0
-118.62,34.15,,1972.6666666666667,13,11.0,10.0,2842.3333333333335,0.4,0.3,1.5333333333333332,925000.0
-118.62,34.16,,1971.6666666666667,9,8.0,7.0,1992.0,,,1.5666666666666667,411233.3333333333
-118.62,34.17,,1952.0,2,1.0,1.0,903.0,1.0,,2.9,244000.0
-118.62,34.18,,1960.0,4,2.0,1.0,2023.0,1.0,,2.8,230000.0
-118.62,34.19,,1957.6,19,12.0,10.0,1770.2,,2.02,0.8400000000000001,386666.6666666667
-118.62,34.2,,1959.6666666666667,11,7.0,6.0,1618.0,,2.5,1.1333333333333333,590166.6666666666
-118.62,34.21,,1964.0,17,12.0,12.0,1880.0,0.5333333333333333,0.7,1.45,230909.0
-118.62,34.23,,2018.0,7,6.0,5.0,1539.5,1.0,1.2,2.9,645570.0
-118.62,34.26,,1980.0,4,3.0,3.0,1773.0,0.7,1.6,2.0,485000.0
-118.62,34.46,,2000.0,4,3.0,2.0,2440.0,0.4,1.5,3.8,598000.0
-118.62,34.49,,2001.0,3,3.0,3.0,1533.0,1.5,,4.7,
-118.62,34.5,,1997.2,16,13.0,12.0,1799.8,0.9400000000000001,,5.04,336500.0
-118.61,34.13,,1988.0,4,3.0,2.0,2877.0,0.8,0.7,1.1,1000000.0
-118.61,34.15,,1999.0,2,2.0,2.0,1300.0,0.7,0.3,1.3,
-118.61,34.16,,1966.6666666666667,21,19.0,15.0,2416.0,0.16666666666666666,,2.4166666666666665,457166.6666666667
-118.61,34.17,,1975.5,6,6.0,4.0,890.25,1.275,,2.3249999999999997,216375.0
-118.61,34.18,,1966.5,14,11.0,8.0,1759.5,1.4,,1.4333333333333333,
-118.61,34.19,745100.0,1962.4545454545455,34,25.0,22.0,1509.4545454545455,,1.4,0.509090909090909,394916.6666666667
-118.61,34.2,414500.0,1968.25,31,24.0,21.0,1249.8333333333333,,1.0636363636363635,0.4454545454545455,289350.0
-118.61,34.21,,1974.0,5,5.0,5.0,1551.5,0.5,0.35,0.9500000000000001,
-118.61,34.22,,2002.0,8,6.0,3.0,2224.0,0.2,0.6,2.5,
-118.61,34.23,,1960.0,4,2.0,2.0,1679.0,0.2,0.9,2.2,582000.0
-118.61,34.24,,1985.0,14,16.0,10.0,4307.666666666667,1.0666666666666667,1.4333333333333333,1.7333333333333334,1125333.3333333333
-118.61,34.25,,1973.0,8,5.0,4.0,2376.0,0.5,1.05,1.4,450000.0
-118.61,34.26,,1969.3333333333333,9,8.0,7.0,1594.0,0.4666666666666666,1.4333333333333333,1.8,137500.0
-118.6,34.08,,1942.0,3,3.0,3.0,1300.0,0.9,,4.8,
-118.6,34.1,,1966.5,6,4.0,4.0,1837.0,0.45,,5.2,601250.0
-118.6,34.11,4050000.0,1987.6666666666667,13,13.0,9.0,3873.3333333333335,1.0333333333333334,,5.633333333333333,4200000.0
-118.6,34.14,570000.0,1977.0,10,8.0,6.0,1906.0,1.3666666666666665,,7.166666666666667,377090.6666666667
-118.6,34.16,,1964.0,4,4.0,1.0,1998.0,0.6,,2.1,
-118.6,34.17,,1985.25,15,15.0,14.0,964.75,,,1.8,373583.3333333333
-118.6,34.18,,2010.0,4,4.0,4.0,1050.0,0.9,,1.0,
-118.6,34.19,280000.0,1986.0,2,2.0,1.0,616.0,0.55,,0.3,200000.0
-118.6,34.2,605000.0,1963.3333333333333,7,5.0,3.0,1150.3333333333333,0.6666666666666666,1.2,0.2333333333333333,208400.0
-118.6,34.21,,1956.0,3,2.0,2.0,1846.0,0.6,0.5,1.2,450000.0
-118.6,34.23,,1969.0,2,2.0,1.0,1400.0,0.6,1.5,1.7,
-118.6,34.25,,1978.0,12,11.0,6.0,1459.5,0.5,0.575,0.95,273333.3333333333
-118.6,34.26,,1962.5,7,5.0,5.0,2530.0,0.4,0.65,0.95,585002.5
-118.6,34.28,,1985.0,5,5.0,3.0,1524.0,,1.7,1.8,434000.0
-118.6,34.39,,2000.4,23,20.0,19.0,3490.4,0.3,,0.8,859000.0
-118.59,34.04,,1982.0,4,4.0,4.0,4089.0,6.7,,14.7,25000.0
-118.59,34.08,,1963.0,4,3.0,3.0,3100.0,0.8,,4.5,650000.0
-118.59,34.09,2453874.3333333335,1972.75,17,17.0,15.0,3675.5,0.75,,4.55,2025000.0
-118.59,34.11,1595000.0,1958.0,7,6.0,5.0,2027.0,1.2000000000000002,,5.35,16000.0
-118.59,34.12,1395000.0,1956.0,7,5.0,4.0,1927.0,1.75,,5.75,516500.0
-118.59,34.14,,1990.0,5,6.0,5.0,6214.0,1.8,,6.7,
-118.59,34.15,,1960.0,14,12.0,11.0,2150.0,,,1.7666666666666666,563000.0
-118.59,34.16,,1953.75,12,8.0,7.0,1598.0,,,1.275,543166.6666666666
-118.59,34.17,,1960.0,4,3.0,3.0,2146.0,,,1.1,5500.0
-118.59,34.19,,1956.0,3,2.0,2.0,1246.0,0.5,,1.2,
-118.59,34.2,700000.0,1972.0,22,16.0,15.0,1530.0,0.31428571428571433,1.3857142857142857,0.9857142857142858,310500.0
-118.59,34.21,630000.0,1956.0,6,4.0,4.0,1520.0,0.7,1.2,1.15,
-118.59,34.22,,1969.2,17,13.0,13.0,1583.0,0.5599999999999999,1.4600000000000002,1.8199999999999998,370500.0
-118.59,34.23,,1978.5,4,4.0,3.0,995.5,0.55,1.6,1.6,308500.0
-118.59,34.26,,1966.0,20,17.0,14.0,1420.142857142857,,0.45,0.5333333333333333,259000.0
-118.59,34.28,,2005.0,4,4.0,4.0,2918.0,,,1.6,958000.0
-118.59,34.37,,2002.0,6,4.0,4.0,3510.0,1.1,,2.0,555000.0
-118.59,34.39,,1994.0,25,21.0,18.0,1860.25,0.5875,,1.0125,481357.14285714284
-118.59,34.4,,2003.0,4,6.0,5.0,4171.0,0.1,,0.4,1635000.0
-118.59,34.41,,2003.4,22,17.0,17.0,2798.0,0.38,,0.6799999999999999,719500.0
-118.58,34.12,,1973.0,4,3.0,3.0,3441.0,2.1,,5.4,
-118.58,34.16,,1955.5,8,7.0,4.0,2794.0,,,0.9,
-118.58,34.17,,2000.0,3,4.0,4.0,1099.0,,,0.8,283000.0
-118.58,34.19,,1953.0,3,2.0,2.0,1202.0,,,,438000.0
-118.58,34.2,,1954.0,4,2.0,2.0,1342.0,0.2,0.8,1.5,240000.0
-118.58,34.21,,1967.0,15,13.0,10.0,1264.6666666666667,0.4166666666666667,0.7333333333333334,3.25,326400.0
-118.58,34.22,,1955.0,4,2.0,2.0,1508.0,0.3,1.3,1.9,
-118.58,34.23,,1954.5,5,4.0,4.0,1684.0,0.4,1.9,3.5,610000.0
-118.58,34.26,,1962.0,3,3.0,3.0,2113.0,,0.9,0.7,
-118.58,34.27,,1937.0,4,5.0,2.0,2865.0,,0.9,0.8,
-118.58,34.28,,2014.8,19,23.0,19.0,3445.4,,,1.92,1018000.0
-118.58,34.3,,2004.0,5,5.0,4.0,4550.0,,,2.7,1290000.0
-118.58,34.38,660000.0,2003.0,9,7.0,7.0,1628.3333333333333,0.13333333333333333,,1.7666666666666666,237500.0
-118.58,34.39,,1990.8181818181818,30,30.0,26.0,1514.4545454545455,0.5363636363636364,,1.5,492750.0
-118.58,34.41,,2003.5,11,10.0,9.0,1755.0,0.775,,1.125,
-118.57,34.14,,1975.0,5,4.0,3.0,3223.0,,2.2,1.8,
-118.57,34.16,,1961.0,4,3.0,3.0,2452.0,,,0.4,1170000.0
-118.57,34.17,,1951.0,6,5.0,2.0,3980.0,,,0.4,
-118.57,34.19,,1955.0,3,3.0,0.0,,0.3,0.7,1.5,400000.0
-118.57,34.2,,1964.2,16,11.0,10.0,1481.4,0.26,0.3,2.32,528000.0
-118.57,34.21,,1967.2,16,10.0,8.0,1444.8,0.44000000000000006,0.48,3.62,330200.0
-118.57,34.22,,1973.0,15,14.0,12.0,1991.0,0.22000000000000003,0.9199999999999999,3.34,273750.0
-118.57,34.23,,1956.0,4,2.0,2.0,1392.0,0.7,1.7,3.0,613000.0
-118.57,34.25,,1967.3333333333333,12,9.0,7.0,2246.3333333333335,0.5,1.05,1.15,
-118.57,34.28,,2000.0,17,16.0,12.0,2055.4,,,2.04,562333.3333333334
-118.57,34.29,,1992.0,4,3.0,2.0,2900.0,,3.4,2.7,690000.0
-118.57,34.41,,2000.0,3,3.0,2.0,2969.0,1.6,,1.7,447000.0
-118.57,34.42,,1999.0,2,3.0,3.0,2100.0,1.1,,2.1,437000.0
-118.57,34.45,,2008.4,19,19.0,15.0,2578.6,1.65,,0.68,709666.6666666666
-118.57,34.46,,2015.0,4,3.0,3.0,3189.0,,,1.4,655500.0
-118.57,34.47,,2003.0,4,3.0,3.0,3437.0,0.5,,1.9,
-118.56,34.04,,1975.6666666666667,12,14.0,12.0,4090.3333333333335,,4.266666666666667,1.9333333333333333,2500025.0
-118.56,34.05,,1985.0,4,3.0,3.0,2592.0,,3.8,1.5,
-118.56,34.07,,1974.0,10,8.0,5.0,3527.5,,4.0,2.1500000000000004,433575.0
-118.56,34.08,,1978.0,2,4.0,2.0,2086.0,,4.3,2.6,1085000.0
-118.56,34.14,,1970.0,3,4.0,3.0,2681.0,,1.9,1.9,655000.0
-118.56,34.15,,1966.3333333333333,12,10.0,10.0,2679.3333333333335,,1.5333333333333332,1.6333333333333335,812500.0
-118.56,34.16,,1960.0,4,3.0,2.0,3494.0,,1.0,1.0,510000.0
-118.56,34.17,,1956.0,5,4.0,4.0,3515.0,,1.0,0.9,1260000.0
-118.56,34.18,,1947.0,6,4.0,4.0,3548.0,0.6,1.0,1.1,
-118.56,34.19,,1976.2,16,10.0,7.0,1492.0,0.3333333333333333,1.1400000000000001,1.7600000000000002,328000.0
-118.56,34.2,,1974.0,9,7.0,5.0,1845.3333333333333,0.3666666666666667,0.5666666666666667,1.9666666666666668,111500.0
-118.56,34.21,,1969.6666666666667,11,7.0,6.0,1260.6666666666667,0.35,0.5,3.3,360333.3333333333
-118.56,34.22,,1982.0,3,3.0,3.0,1644.0,0.6,1.2,2.8,152000.0
-118.56,34.23,,1958.0,3,2.0,2.0,1570.0,0.6,1.7,2.3,
-118.56,34.24,,2004.25,14,14.0,10.0,1742.75,0.8,0.875,2.0250000000000004,545500.0
-118.56,34.25,,1963.8,24,19.0,13.0,3142.8,0.75,0.62,1.58,528000.0
-118.56,34.28,,1974.3333333333333,9,8.0,5.0,1300.3333333333333,,3.2000000000000006,2.966666666666667,326000.0
-118.56,34.29,,1982.0,11,9.0,8.0,2652.6666666666665,,2.966666666666667,3.1333333333333333,405000.0
-118.56,34.3,,1989.0,7,6.0,6.0,2329.5,,2.95,3.2,438000.0
-118.56,34.38,,1971.3333333333333,12,9.0,6.0,2319.3333333333335,0.6666666666666666,,1.3333333333333333,413250.0
-118.56,34.39,,1974.3333333333333,20,14.0,12.0,1598.3333333333333,0.48333333333333334,,1.3499999999999999,396250.0
-118.56,34.4,,1984.5,6,5.0,5.0,1667.0,0.5,,1.6,565000.0
-118.56,34.41,,1988.5,3,3.0,3.0,996.5,0.9,,2.1,417500.0
-118.56,34.42,,2003.0,6,6.0,6.0,945.0,0.95,,2.3,315000.0
-118.56,34.44,,2004.3333333333333,8,7.0,7.0,1689.0,0.9,,0.43333333333333335,
-118.56,34.46,,2010.4,16,15.0,13.0,1832.0,,,1.1800000000000002,454112.5
-118.56,34.47,,2004.0,8,6.0,5.0,2302.5,0.25,,1.7999999999999998,641000.0
-118.55,34.04,,2010.0,5,6.0,5.0,4470.0,,3.3,1.0,
-118.55,34.05,,1975.5,6,6.0,4.0,2168.0,,3.4,1.2000000000000002,1775008.5
-118.55,34.06,,1968.0,3,3.0,3.0,2275.0,,3.3,1.3,
-118.55,34.07,,1989.0,15,16.0,14.0,4695.0,,3.533333333333333,1.9333333333333333,2075000.0
-118.55,34.08,,1995.0,4,4.0,4.0,3206.0,,3.7,2.1,2005000.0
-118.55,34.15,,1983.5,10,11.0,8.0,4432.5,,0.9,1.8,2818000.0
-118.55,34.16,,1975.0,4,5.0,2.0,4525.0,,0.8,1.2,2475000.0
-118.55,34.17,,1958.0,5,8.0,6.0,5100.0,,0.5,1.3,1498000.0
-118.55,34.18,,1965.25,16,11.0,11.0,2247.75,0.275,0.95,1.35,63000.0
-118.55,34.19,,1967.6666666666667,7,6.0,5.0,1166.0,0.6333333333333333,1.5333333333333332,1.2,385750.0
-118.55,34.2,,1971.25,11,8.0,8.0,1489.0,0.55,1.8,1.675,272000.0
-118.55,34.23,,1960.0,3,2.0,2.0,1232.0,0.2,1.7,2.0,
-118.55,34.24,,1961.5,18,15.0,14.0,3490.5,,0.6666666666666666,1.6333333333333335,957666.6666666666
-118.55,34.25,1373500.0,1964.6,22,20.0,13.0,3134.2,,0.32,1.8800000000000001,814750.0
-118.55,34.26,,1976.0,13,13.0,11.0,4337.0,,0.4,1.9000000000000001,1304500.0
-118.55,34.27,,1966.0,4,2.0,1.0,2154.0,0.2,1.2,2.3,
-118.55,34.36,,1989.0,13,9.0,8.0,2919.6666666666665,1.2,,1.5333333333333332,497500.0
-118.55,34.38,,1966.75,15,10.0,10.0,1814.75,0.3,,0.85,406666.6666666667
-118.55,34.39,,1970.0,5,3.0,3.0,2327.0,0.4,,0.8,690000.0
-118.55,34.4,,1987.0,2,2.0,2.0,750.0,0.6,,1.6,307000.0
-118.55,34.41,,1985.2,12,11.0,10.0,1310.4,0.38,,1.8199999999999998,372066.6666666667
-118.55,34.43,,1993.0,10,9.0,8.0,1823.0,0.35,,1.15,350833.3333333333
-118.55,34.44,,1993.0,9,6.0,6.0,2492.0,0.45,,1.05,615000.0
-118.55,34.45,,1996.0,9,6.0,5.0,2293.5,0.55,,0.8500000000000001,730000.0
-118.55,34.46,,2000.0,5,6.0,6.0,1578.5,0.25,,1.55,350750.0
-118.54,34.04,,2005.0,7,6.0,4.0,3364.0,,2.8,0.55,1445000.0
-118.54,34.05,,2020.0,9,12.0,6.0,4885.0,,2.5,0.3,4112500.0
-118.54,34.06,,1991.0,7,9.0,7.0,10632.0,,2.9,1.2,
-118.54,34.17,,1965.1666666666667,15,14.0,13.0,1259.6666666666667,0.5,0.5,1.2,373333.3333333333
-118.54,34.18,,1981.0,18,17.0,14.0,1563.142857142857,0.35714285714285715,0.7142857142857143,0.942857142857143,208833.33333333334
-118.54,34.19,,1968.6666666666667,9,7.0,6.0,1407.0,0.6,1.6333333333333335,0.5666666666666668,403000.0
-118.54,34.21,,1951.0,3,2.0,2.0,1227.0,0.2,1.6,2.7,242000.0
-118.54,34.22,,1981.0,4,2.0,2.0,1955.0,0.4,1.3,2.0,510000.0
-118.54,34.23,,1952.0,5,2.0,2.0,1117.0,0.6,1.1,1.35,158800.0
-118.54,34.24,,1957.75,15,8.0,7.0,1598.25,,0.925,1.05,430875.0
-118.54,34.25,,1974.6,15,13.0,11.0,1465.8,,0.9199999999999999,0.9800000000000001,297250.0
-118.54,34.26,,1996.0,5,5.0,4.0,3755.0,0.7,0.9,1.4,1350000.0
-118.54,34.27,,1969.0,4,2.0,2.0,1958.0,0.4,1.1,1.8,
-118.54,34.28,,1977.5,9,6.0,6.0,2869.5,,1.8,2.5,385000.0
-118.54,34.3,,1966.0,4,3.0,2.0,2310.0,,2.1,3.5,865000.0
-118.54,34.36,,1986.0,5,4.0,4.0,3035.0,1.3,,1.5,297000.0
-118.54,34.37,,1966.0,6,4.0,4.0,1593.0,0.3,,0.9,460250.0
-118.54,34.38,,1968.6666666666667,9,7.0,4.0,1873.0,0.2333333333333333,,0.39999999999999997,399666.6666666667
-118.54,34.39,,1969.0,5,3.0,3.0,2336.0,0.8,,0.4,560000.0
-118.54,34.4,,1987.4,15,10.0,9.0,1371.4,0.74,,0.9800000000000001,418333.3333333333
-118.54,34.41,,1984.0,5,4.0,4.0,996.0,0.25,,1.45,493500.0
-118.54,34.43,,1999.0,8,7.0,7.0,1432.3333333333333,0.6333333333333333,,1.5333333333333332,413500.0
-118.54,34.44,,1992.0,7,5.0,5.0,2538.5,0.7,,1.2999999999999998,545750.0
-118.54,34.45,,1996.0,4,3.0,3.0,2288.0,0.4,,1.4,370000.0
-118.54,34.46,,1988.0,19,15.0,11.0,1515.0,0.75,,1.9166666666666667,355581.8
-118.54,34.47,,2003.0,5,4.0,4.0,3810.0,1.1,,2.4,739000.0
-118.54,34.48,,1999.0,5,3.0,3.0,2362.0,0.8,,2.7,640000.0
-118.53,34.04,,1971.0,12,12.0,11.0,3795.0,0.3666666666666667,2.1999999999999997,0.5,
-118.53,34.05,,1998.0,5,5.0,5.0,1668.5,0.1,2.3,0.2,540000.0
-118.53,34.15,,1964.0,10,9.0,7.0,4267.0,,1.5,2.6500000000000004,1290000.0
-118.53,34.16,,1983.0,8,8.0,7.0,2599.0,,1.05,1.8,1640000.0
-118.53,34.17,,1976.888888888889,23,25.0,19.0,1980.0,,0.8777777777777778,1.2333333333333334,349333.3333333333
-118.53,34.18,,1978.25,10,11.0,9.0,1430.75,,0.9,0.8,386666.6666666667
-118.53,34.19,,1951.0,9,4.0,4.0,1176.6666666666667,0.3666666666666667,1.3333333333333333,0.3666666666666667,129000.0
-118.53,34.2,,1942.0,4,3.0,3.0,1969.0,0.7,1.3,0.9,635000.0
-118.53,34.21,,1988.0,3,3.0,2.0,1609.0,0.5,1.1,2.3,
